date,state,district,market,crop_name,demand_quantity
2025-01-01,Madhya Pradesh,Indore,Indore,Tomato,1448.68
2025-01-02,Madhya Pradesh,Indore,Indore,Tomato,1444.87
2025-01-03,Madhya Pradesh,Indore,Indore,Tomato,1543.82
2025-01-04,Madhya Pradesh,Indore,Indore,Tomato,1596.8
2025-01-05,Madhya Pradesh,Indore,Indore,Tomato,1362.99
2025-01-06,Madhya Pradesh,Indore,Indore,Tomato,1329.14
2025-01-07,Madhya Pradesh,Indore,Indore,Tomato,1520.28
2025-01-08,Madhya Pradesh,Indore,Indore,Tomato,1505.49
2025-01-09,Madhya Pradesh,Indore,Indore,Tomato,1439.91
2025-01-10,Madhya Pradesh,Indore,Indore,Tomato,1564.19
2025-01-11,Madhya Pradesh,Indore,Indore,Tomato,1424.5
2025-01-12,Madhya Pradesh,Indore,Indore,Tomato,1367.63
2025-01-13,Madhya Pradesh,Indore,Indore,Tomato,1401.84
2025-01-14,Madhya Pradesh,Indore,Indore,Tomato,1209.36
2025-01-15,Madhya Pradesh,Indore,Indore,Tomato,1281.28
2025-01-16,Madhya Pradesh,Indore,Indore,Tomato,1458.61
2025-01-17,Madhya Pradesh,Indore,Indore,Tomato,1427.75
2025-01-18,Madhya Pradesh,Indore,Indore,Tomato,1534.17
2025-01-19,Madhya Pradesh,Indore,Indore,Tomato,1349.68
2025-01-20,Madhya Pradesh,Indore,Indore,Tomato,1266.29
2025-01-21,Madhya Pradesh,Indore,Indore,Tomato,1569.3
2025-01-22,Madhya Pradesh,Indore,Indore,Tomato,1461.64
2025-01-23,Madhya Pradesh,Indore,Indore,Tomato,1554.54
2025-01-24,Madhya Pradesh,Indore,Indore,Tomato,1409.54
2025-01-25,Madhya Pradesh,Indore,Indore,Tomato,1470.98
2025-01-26,Madhya Pradesh,Indore,Indore,Tomato,1479.47
2025-01-27,Madhya Pradesh,Indore,Indore,Tomato,1315.81
2025-01-28,Madhya Pradesh,Indore,Indore,Tomato,1487.4
2025-01-29,Madhya Pradesh,Indore,Indore,Tomato,1448.45
2025-01-30,Madhya Pradesh,Indore,Indore,Tomato,1542.86
2025-01-31,Madhya Pradesh,Indore,Indore,Tomato,1526.43
2025-02-01,Madhya Pradesh,Indore,Indore,Tomato,1757.99
2025-02-02,Madhya Pradesh,Indore,Indore,Tomato,1492.29
2025-02-03,Madhya Pradesh,Indore,Indore,Tomato,1348.06
2025-02-04,Madhya Pradesh,Indore,Indore,Tomato,1558.96
2025-02-05,Madhya Pradesh,Indore,Indore,Tomato,1406.21
2025-02-06,Madhya Pradesh,Indore,Indore,Tomato,1624.8
2025-02-07,Madhya Pradesh,Indore,Indore,Tomato,1397.72
2025-02-08,Madhya Pradesh,Indore,Indore,Tomato,1434.63
2025-02-09,Madhya Pradesh,Indore,Indore,Tomato,1538.78
2025-02-10,Madhya Pradesh,Indore,Indore,Tomato,1555.57
2025-02-11,Madhya Pradesh,Indore,Indore,Tomato,1515.3
2025-02-12,Madhya Pradesh,Indore,Indore,Tomato,1548.92
2025-02-13,Madhya Pradesh,Indore,Indore,Tomato,1591.73
2025-02-14,Madhya Pradesh,Indore,Indore,Tomato,1474.3
2025-02-15,Madhya Pradesh,Indore,Indore,Tomato,1524.45
2025-02-16,Madhya Pradesh,Indore,Indore,Tomato,1490.57
2025-02-17,Madhya Pradesh,Indore,Indore,Tomato,1611.64
2025-02-18,Madhya Pradesh,Indore,Indore,Tomato,1555.3
2025-02-19,Madhya Pradesh,Indore,Indore,Tomato,1388.13
2025-02-20,Madhya Pradesh,Indore,Indore,Tomato,1685.95
2025-02-21,Madhya Pradesh,Indore,Indore,Tomato,1622.0
2025-02-22,Madhya Pradesh,Indore,Indore,Tomato,1549.78
2025-02-23,Madhya Pradesh,Indore,Indore,Tomato,1627.36
2025-02-24,Madhya Pradesh,Indore,Indore,Tomato,1629.73
2025-02-25,Madhya Pradesh,Indore,Indore,Tomato,1638.35
2025-02-26,Madhya Pradesh,Indore,Indore,Tomato,1509.14
2025-02-27,Madhya Pradesh,Indore,Indore,Tomato,1632.62
2025-02-28,Madhya Pradesh,Indore,Indore,Tomato,1726.06
2025-03-01,Madhya Pradesh,Indore,Indore,Tomato,1758.41
2025-03-02,Madhya Pradesh,Indore,Indore,Tomato,1525.58
2025-03-03,Madhya Pradesh,Indore,Indore,Tomato,1517.2
2025-03-04,Madhya Pradesh,Indore,Indore,Tomato,1434.62
2025-03-05,Madhya Pradesh,Indore,Indore,Tomato,1484.92
2025-03-06,Madhya Pradesh,Indore,Indore,Tomato,1782.22
2025-03-07,Madhya Pradesh,Indore,Indore,Tomato,1866.09
2025-03-08,Madhya Pradesh,Indore,Indore,Tomato,1654.13
2025-03-09,Madhya Pradesh,Indore,Indore,Tomato,1705.92
2025-03-10,Madhya Pradesh,Indore,Indore,Tomato,1591.09
2025-03-11,Madhya Pradesh,Indore,Indore,Tomato,1498.58
2025-03-12,Madhya Pradesh,Indore,Indore,Tomato,1676.58
2025-03-13,Madhya Pradesh,Indore,Indore,Tomato,1884.2
2025-03-14,Madhya Pradesh,Indore,Indore,Tomato,1714.44
2025-03-15,Madhya Pradesh,Indore,Indore,Tomato,1859.77
2025-03-16,Madhya Pradesh,Indore,Indore,Tomato,1312.01
2025-03-17,Madhya Pradesh,Indore,Indore,Tomato,1653.72
2025-03-18,Madhya Pradesh,Indore,Indore,Tomato,1590.75
2025-03-19,Madhya Pradesh,Indore,Indore,Tomato,1612.46
2025-03-20,Madhya Pradesh,Indore,Indore,Tomato,1723.8
2025-03-21,Madhya Pradesh,Indore,Indore,Tomato,1489.44
2025-03-22,Madhya Pradesh,Indore,Indore,Tomato,1660.92
2025-03-23,Madhya Pradesh,Indore,Indore,Tomato,1656.85
2025-03-24,Madhya Pradesh,Indore,Indore,Tomato,1735.59
2025-03-25,Madhya Pradesh,Indore,Indore,Tomato,1532.23
2025-03-26,Madhya Pradesh,Indore,Indore,Tomato,1561.95
2025-03-27,Madhya Pradesh,Indore,Indore,Tomato,1660.95
2025-03-28,Madhya Pradesh,Indore,Indore,Tomato,1849.77
2025-03-29,Madhya Pradesh,Indore,Indore,Tomato,1733.42
2025-03-30,Madhya Pradesh,Indore,Indore,Tomato,1563.06
2025-03-31,Madhya Pradesh,Indore,Indore,Tomato,1635.8
2025-04-01,Madhya Pradesh,Indore,Indore,Tomato,1606.59
2025-04-02,Madhya Pradesh,Indore,Indore,Tomato,1773.92
2025-04-03,Madhya Pradesh,Indore,Indore,Tomato,1641.93
2025-04-04,Madhya Pradesh,Indore,Indore,Tomato,1703.35
2025-04-05,Madhya Pradesh,Indore,Indore,Tomato,1652.17
2025-04-06,Madhya Pradesh,Indore,Indore,Tomato,1460.32
2025-04-07,Madhya Pradesh,Indore,Indore,Tomato,1615.09
2025-04-08,Madhya Pradesh,Indore,Indore,Tomato,1627.78
2025-04-09,Madhya Pradesh,Indore,Indore,Tomato,1664.35
2025-04-10,Madhya Pradesh,Indore,Indore,Tomato,1700.51
2025-04-11,Madhya Pradesh,Indore,Indore,Tomato,1572.11
2025-04-12,Madhya Pradesh,Indore,Indore,Tomato,1649.9
2025-04-13,Madhya Pradesh,Indore,Indore,Tomato,1588.62
2025-04-14,Madhya Pradesh,Indore,Indore,Tomato,1493.64
2025-04-15,Madhya Pradesh,Indore,Indore,Tomato,1580.31
2025-04-16,Madhya Pradesh,Indore,Indore,Tomato,1710.14
2025-04-17,Madhya Pradesh,Indore,Indore,Tomato,1955.87
2025-04-18,Madhya Pradesh,Indore,Indore,Tomato,1764.67
2025-04-19,Madhya Pradesh,Indore,Indore,Tomato,1728.52
2025-04-20,Madhya Pradesh,Indore,Indore,Tomato,1616.81
2025-04-21,Madhya Pradesh,Indore,Indore,Tomato,1367.58
2025-04-22,Madhya Pradesh,Indore,Indore,Tomato,1592.21
2025-04-23,Madhya Pradesh,Indore,Indore,Tomato,1666.33
2025-04-24,Madhya Pradesh,Indore,Indore,Tomato,2020.55
2025-04-25,Madhya Pradesh,Indore,Indore,Tomato,1715.1
2025-04-26,Madhya Pradesh,Indore,Indore,Tomato,1728.47
2025-04-27,Madhya Pradesh,Indore,Indore,Tomato,1615.97
2025-04-28,Madhya Pradesh,Indore,Indore,Tomato,1445.36
2025-04-29,Madhya Pradesh,Indore,Indore,Tomato,1716.19
2025-04-30,Madhya Pradesh,Indore,Indore,Tomato,1739.55
2025-05-01,Madhya Pradesh,Indore,Indore,Tomato,1810.93
2025-05-02,Madhya Pradesh,Indore,Indore,Tomato,1620.38
2025-05-03,Madhya Pradesh,Indore,Indore,Tomato,1849.96
2025-05-04,Madhya Pradesh,Indore,Indore,Tomato,1453.51
2025-05-05,Madhya Pradesh,Indore,Indore,Tomato,1630.05
2025-05-06,Madhya Pradesh,Indore,Indore,Tomato,1822.48
2025-05-07,Madhya Pradesh,Indore,Indore,Tomato,1529.01
2025-05-08,Madhya Pradesh,Indore,Indore,Tomato,1637.88
2025-05-09,Madhya Pradesh,Indore,Indore,Tomato,1731.59
2025-05-10,Madhya Pradesh,Indore,Indore,Tomato,1614.51
2025-05-11,Madhya Pradesh,Indore,Indore,Tomato,1426.95
2025-05-12,Madhya Pradesh,Indore,Indore,Tomato,1562.17
2025-05-13,Madhya Pradesh,Indore,Indore,Tomato,1452.04
2025-05-14,Madhya Pradesh,Indore,Indore,Tomato,1684.64
2025-05-15,Madhya Pradesh,Indore,Indore,Tomato,1583.37
2025-05-16,Madhya Pradesh,Indore,Indore,Tomato,1890.97
2025-05-17,Madhya Pradesh,Indore,Indore,Tomato,1568.77
2025-05-18,Madhya Pradesh,Indore,Indore,Tomato,1551.43
2025-05-19,Madhya Pradesh,Indore,Indore,Tomato,1629.03
2025-05-20,Madhya Pradesh,Indore,Indore,Tomato,1420.82
2025-05-21,Madhya Pradesh,Indore,Indore,Tomato,1641.49
2025-05-22,Madhya Pradesh,Indore,Indore,Tomato,1829.94
2025-05-23,Madhya Pradesh,Indore,Indore,Tomato,1499.52
2025-05-24,Madhya Pradesh,Indore,Indore,Tomato,1664.86
2025-05-25,Madhya Pradesh,Indore,Indore,Tomato,1600.02
2025-05-26,Madhya Pradesh,Indore,Indore,Tomato,1609.12
2025-05-27,Madhya Pradesh,Indore,Indore,Tomato,1405.46
2025-05-28,Madhya Pradesh,Indore,Indore,Tomato,1450.95
2025-05-29,Madhya Pradesh,Indore,Indore,Tomato,1719.11
2025-05-30,Madhya Pradesh,Indore,Indore,Tomato,1705.9
2025-05-31,Madhya Pradesh,Indore,Indore,Tomato,1653.81
2025-06-01,Madhya Pradesh,Indore,Indore,Tomato,1591.32
2025-06-02,Madhya Pradesh,Indore,Indore,Tomato,1436.27
2025-06-03,Madhya Pradesh,Indore,Indore,Tomato,1545.41
2025-06-04,Madhya Pradesh,Indore,Indore,Tomato,1612.14
2025-06-05,Madhya Pradesh,Indore,Indore,Tomato,1556.59
2025-06-06,Madhya Pradesh,Indore,Indore,Tomato,1866.32
2025-06-07,Madhya Pradesh,Indore,Indore,Tomato,1658.41
2025-06-08,Madhya Pradesh,Indore,Indore,Tomato,1406.19
2025-06-09,Madhya Pradesh,Indore,Indore,Tomato,1557.29
2025-06-10,Madhya Pradesh,Indore,Indore,Tomato,1398.68
2025-06-11,Madhya Pradesh,Indore,Indore,Tomato,1645.03
2025-06-12,Madhya Pradesh,Indore,Indore,Tomato,1748.04
2025-06-13,Madhya Pradesh,Indore,Indore,Tomato,1535.13
2025-06-14,Madhya Pradesh,Indore,Indore,Tomato,1690.3
2025-06-15,Madhya Pradesh,Indore,Indore,Tomato,1556.93
2025-06-16,Madhya Pradesh,Indore,Indore,Tomato,1552.86
2025-06-17,Madhya Pradesh,Indore,Indore,Tomato,1676.75
2025-06-18,Madhya Pradesh,Indore,Indore,Tomato,1510.84
2025-06-19,Madhya Pradesh,Indore,Indore,Tomato,1509.9
2025-06-20,Madhya Pradesh,Indore,Indore,Tomato,1505.47
2025-06-21,Madhya Pradesh,Indore,Indore,Tomato,1471.58
2025-06-22,Madhya Pradesh,Indore,Indore,Tomato,1483.19
2025-06-23,Madhya Pradesh,Indore,Indore,Tomato,1481.44
2025-06-24,Madhya Pradesh,Indore,Indore,Tomato,1486.66
2025-06-25,Madhya Pradesh,Indore,Indore,Tomato,1602.13
2025-06-26,Madhya Pradesh,Indore,Indore,Tomato,1571.63
2025-06-27,Madhya Pradesh,Indore,Indore,Tomato,1742.21
2025-06-28,Madhya Pradesh,Indore,Indore,Tomato,1508.65
2025-06-29,Madhya Pradesh,Indore,Indore,Tomato,1748.22
2025-06-30,Madhya Pradesh,Indore,Indore,Tomato,1487.19
2025-07-01,Madhya Pradesh,Indore,Indore,Tomato,1349.87
2025-07-02,Madhya Pradesh,Indore,Indore,Tomato,1379.33
2025-07-03,Madhya Pradesh,Indore,Indore,Tomato,1598.12
2025-07-04,Madhya Pradesh,Indore,Indore,Tomato,1532.4
2025-07-05,Madhya Pradesh,Indore,Indore,Tomato,1588.79
2025-07-06,Madhya Pradesh,Indore,Indore,Tomato,1493.5
2025-07-07,Madhya Pradesh,Indore,Indore,Tomato,1395.3
2025-07-08,Madhya Pradesh,Indore,Indore,Tomato,1329.68
2025-07-09,Madhya Pradesh,Indore,Indore,Tomato,1311.99
2025-07-10,Madhya Pradesh,Indore,Indore,Tomato,1473.95
2025-07-11,Madhya Pradesh,Indore,Indore,Tomato,1623.99
2025-07-12,Madhya Pradesh,Indore,Indore,Tomato,1511.53
2025-07-13,Madhya Pradesh,Indore,Indore,Tomato,1298.66
2025-07-14,Madhya Pradesh,Indore,Indore,Tomato,1396.96
2025-07-15,Madhya Pradesh,Indore,Indore,Tomato,1428.58
2025-07-16,Madhya Pradesh,Indore,Indore,Tomato,1355.0
2025-07-17,Madhya Pradesh,Indore,Indore,Tomato,1513.53
2025-07-18,Madhya Pradesh,Indore,Indore,Tomato,1514.05
2025-07-19,Madhya Pradesh,Indore,Indore,Tomato,1348.42
2025-07-20,Madhya Pradesh,Indore,Indore,Tomato,1435.35
2025-07-21,Madhya Pradesh,Indore,Indore,Tomato,1411.82
2025-07-22,Madhya Pradesh,Indore,Indore,Tomato,1473.02
2025-07-23,Madhya Pradesh,Indore,Indore,Tomato,1526.61
2025-07-24,Madhya Pradesh,Indore,Indore,Tomato,1331.88
2025-07-25,Madhya Pradesh,Indore,Indore,Tomato,1386.99
2025-07-26,Madhya Pradesh,Indore,Indore,Tomato,1494.99
2025-07-27,Madhya Pradesh,Indore,Indore,Tomato,1428.25
2025-07-28,Madhya Pradesh,Indore,Indore,Tomato,1385.85
2025-07-29,Madhya Pradesh,Indore,Indore,Tomato,1711.9
2025-07-30,Madhya Pradesh,Indore,Indore,Tomato,1456.07
2025-07-31,Madhya Pradesh,Indore,Indore,Tomato,1567.16
2025-08-01,Madhya Pradesh,Indore,Indore,Tomato,1559.79
2025-08-02,Madhya Pradesh,Indore,Indore,Tomato,1486.26
2025-08-03,Madhya Pradesh,Indore,Indore,Tomato,1328.28
2025-08-04,Madhya Pradesh,Indore,Indore,Tomato,1387.99
2025-08-05,Madhya Pradesh,Indore,Indore,Tomato,1256.76
2025-08-06,Madhya Pradesh,Indore,Indore,Tomato,1357.02
2025-08-07,Madhya Pradesh,Indore,Indore,Tomato,1382.35
2025-08-08,Madhya Pradesh,Indore,Indore,Tomato,1449.67
2025-08-09,Madhya Pradesh,Indore,Indore,Tomato,1628.57
2025-08-10,Madhya Pradesh,Indore,Indore,Tomato,1164.32
2025-08-11,Madhya Pradesh,Indore,Indore,Tomato,1362.31
2025-08-12,Madhya Pradesh,Indore,Indore,Tomato,1162.64
2025-08-13,Madhya Pradesh,Indore,Indore,Tomato,1316.42
2025-08-14,Madhya Pradesh,Indore,Indore,Tomato,1519.66
2025-08-15,Madhya Pradesh,Indore,Indore,Tomato,1428.99
2025-08-16,Madhya Pradesh,Indore,Indore,Tomato,1279.08
2025-08-17,Madhya Pradesh,Indore,Indore,Tomato,1256.18
2025-08-18,Madhya Pradesh,Indore,Indore,Tomato,1344.7
2025-08-19,Madhya Pradesh,Indore,Indore,Tomato,1228.32
2025-08-20,Madhya Pradesh,Indore,Indore,Tomato,1365.33
2025-08-21,Madhya Pradesh,Indore,Indore,Tomato,1399.73
2025-08-22,Madhya Pradesh,Indore,Indore,Tomato,1341.89
2025-08-23,Madhya Pradesh,Indore,Indore,Tomato,1572.9
2025-08-24,Madhya Pradesh,Indore,Indore,Tomato,1365.62
2025-08-25,Madhya Pradesh,Indore,Indore,Tomato,1089.6
2025-08-26,Madhya Pradesh,Indore,Indore,Tomato,1297.34
2025-08-27,Madhya Pradesh,Indore,Indore,Tomato,1269.21
2025-08-28,Madhya Pradesh,Indore,Indore,Tomato,1463.42
2025-08-29,Madhya Pradesh,Indore,Indore,Tomato,1314.79
2025-08-30,Madhya Pradesh,Indore,Indore,Tomato,1343.5
2025-08-31,Madhya Pradesh,Indore,Indore,Tomato,1341.04
2025-09-01,Madhya Pradesh,Indore,Indore,Tomato,1334.17
2025-09-02,Madhya Pradesh,Indore,Indore,Tomato,1162.59
2025-09-03,Madhya Pradesh,Indore,Indore,Tomato,1288.51
2025-09-04,Madhya Pradesh,Indore,Indore,Tomato,1323.98
2025-09-05,Madhya Pradesh,Indore,Indore,Tomato,1317.67
